number of vertices,graph representation,time
10,adjecency matrix,4e-08
10,incident matrix,1.2e-07
10,edge list,2.2e-07
10,incident list,1e-07
20,adjecency matrix,5e-08
20,incident matrix,3.4e-07
20,edge list,7.1e-07
20,incident list,1.4e-07
30,adjecency matrix,5e-08
30,incident matrix,7.7e-07
30,edge list,1.25e-06
30,incident list,1.8e-07
40,adjecency matrix,5e-08
40,incident matrix,1.3e-06
40,edge list,2.18e-06
40,incident list,2.2e-07
50,adjecency matrix,5e-08
50,incident matrix,2.02e-06
50,edge list,3.43e-06
50,incident list,2.8e-07
60,adjecency matrix,4e-08
60,incident matrix,2.9e-06
60,edge list,4.87e-06
60,incident list,3.2e-07
70,adjecency matrix,4e-08
70,incident matrix,3.9e-06
70,edge list,6.52e-06
70,incident list,3.8e-07
80,adjecency matrix,5e-08
80,incident matrix,5.08e-06
80,edge list,8.49e-06
80,incident list,4e-07
90,adjecency matrix,4e-08
90,incident matrix,6.49e-06
90,edge list,1.078e-05
90,incident list,4.3e-07
100,adjecency matrix,5e-08
100,incident matrix,7.92e-06
100,edge list,1.315e-05
100,incident list,4.8e-07
